subject,model,accuracy,f1_macro,auc_roc
1,LR_PSD,0.6,0.5982142857142857,0.6205357142857142
1,LR_CSP,0.9666666666666666,0.9666295884315907,0.9955357142857143
1,EEGNet_Raw,0.8666666666666666,0.8642533936651584,0.9419642857142857
2,LR_PSD,0.6,0.6,0.6711111111111111
2,LR_CSP,0.7333333333333333,0.7321428571428572,0.7911111111111111
2,EEGNet_Raw,0.6333333333333333,0.6296296296296295,0.7066666666666666
3,LR_PSD,0.4666666666666666,0.4642857142857143,0.5377777777777778
3,LR_CSP,0.9333333333333332,0.9333333333333333,0.9955555555555555
3,EEGNet_Raw,0.8333333333333333,0.8331479421579533,0.9244444444444444
